,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pbr
0,14,1614754824000.0,0.0,-0.00789696,999.99210304,999.48330304,48.0,0.8226,48.0,0.8226,long_ientry,0.03948511181234858
1,70,1614754880000.0,0.0,-0.00303658,999.98906646,998.85436646,19.0,0.7991,67.0,0.8159358208955223,long_primary_rentry,0.05466829771801983
2,616,1614755426000.0,0.056449253731343574,-0.0011536,1000.0443621137314,1000.77421286,-7.0,0.824,60.0,0.8159358208955223,long_nclose,0.048953977551811585
3,616,1614755426000.0,0.07044925373134359,-0.0011564000000000001,1000.1136549674627,1000.7583564600001,-7.0,0.826,53.0,0.8159358208955223,long_nclose,0.04323968410257291
4,617,1614755427000.0,0.08514925373134352,-0.00115934,1000.197644881194,1000.90899712,-7.0,0.8281,46.0,0.8159358208955223,long_nclose,0.037525631012310864
5,617,1614755427000.0,0.09914925373134353,-0.00116214,1000.2956319949254,1000.8987349800001,-7.0,0.8301,39.0,0.8159358208955223,long_nclose,0.031812092342603376
6,618,1614755428000.0,0.0,-0.00149652,1000.2941354749254,1000.77243846,9.0,0.8314,48.0,0.8188353544776119,long_ientry,0.03929253968510407
7,619,1614755429000.0,0.07115251865671635,-0.0011606000000000001,1000.3641273935821,1001.0883778599999,-7.0,0.829,41.0,0.8188353544776119,long_nclose,0.033560029407545384
8,619,1614755429000.0,0.08515251865671636,-0.0011634000000000002,1000.4481165122388,1001.04871446,-7.0,0.831,34.0,0.8188353544776119,long_nclose,0.027827931896454546
9,619,1614755429000.0,0.09915251865671637,-0.0011662,1000.5461028308955,1001.02304826,-7.0,0.833,27.0,0.8188353544776119,long_nclose,0.022096487616455326
10,619,1614755429000.0,0.4391454291044772,-0.00450954,1000.98073872,1000.98073872,-27.0,0.8351,0.0,0.8188353544776119,long_nclose,0.0
11,623,1614755433000.0,0.0,-0.0078631,1000.97287562,1000.64857562,47.0,0.8365,47.0,0.8365,long_ientry,0.03927728808400336
12,1545,1614756355000.0,0.0,-0.00292536,1000.96995026,999.84015026,18.0,0.8126,65.0,0.8298815384615386,long_primary_rentry,0.0538900293520186
13,4164,1614758974000.0,0.05752923076922978,-0.00117334,1001.0263061507693,1001.58997692,-7.0,0.8381,58.0,0.8298815384615386,long_nclose,0.048083780551037465
14,5984,1614760794000.0,0.0,-0.0011351199999999999,1001.0251710307693,999.8989418000001,7.0,0.8108,65.0,0.827826603550296,long_primary_rentry,0.05375362257410736
15,7171,1614761981000.0,0.0,-0.009819560000000001,1001.0153514707694,998.3245222400001,62.0,0.7919,127.0,0.8102876317383405,long_primary_rentry,0.10280214891766745
